topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
0,1,0.2935992951228124,"research, formative, learner, assessment, context, recommendation, edtech, feedback, people, journal, tutor, pattern",usa,policy_ai_report_us_gov,Teaching,teach long envision thing recent pandemic today nearly instruction anticipate experience positive experience context think teach critical focus address experience easy remember people choose teach profession matter discuss teach concept assistant reduce routine teaching burden recommendation extend help reflect improve reduce attention administrative thing increase attention super excite possibility,"Teaching

Teachers have long envisioned many things that technology could make possible for teachers, their classrooms, and their students but not the changes wrought by the recent pandemic. Today, nearly all teachers have experienced uses of technologies for instruction that no one anticipated. Some of those experiences were positive, and others were not. All of the experiences provide an important context as we think further about teaching and technology. There is a critical need to focus on addressing the challenges teachers experience. It must become easier for teachers to do the amazing work they always do. We must also remember why people choose the teaching profession and ensure they can do the work that matters. This section discusses examples of AI supporting teachers and teaching including these concepts: AI assistants to reduce routine teaching burdens; AI that provides teachers with recommendations for their students' needs and extends their work with students; and AI that "
0,2,0.2886037423923013,"research, formative, learner, assessment, context, recommendation, edtech, feedback, people, journal, tutor, pattern",usa,policy_guidetoaiinschools,A Caution,caution research recommendation landscape complicate rapid evolution long time span conduct publish research study product historical moment know society hope useful caution treat authoritative product decade research reflection,"A Caution

Generative AI is very new -which means that research, reports, and recommendations about it are even newer. This alreadyconfusing landscape is complicated by the rapid evolution of AI tools and the long time spans required to conduct and publish research studies and other reports. We include these resources with the caveat that they are all products of this historical moment, when there is so much that we do not yet know about generative AI and its impacts on students, schools, and society. While we hope that these resources are useful, we caution against treating them as if they were an authoritative product of decades of research and reflection."
0,3,0.26809226372539335,"research, formative, learner, assessment, context, recommendation, edtech, feedback, people, journal, tutor, pattern",usa,policy_ai_report_us_gov,"Foundation 1: Center People (Parents, Educators, and Students)",foundation center people parent educator guide empower local individual decision adopt happen everyday live product people paper map people help best route efficiently people realize privacy life bring privacy risk hard address individual decision additional protection clear limit ability collect personal limit target limit burden minimize collect american read print protection recommend center people end recommendation emphasis learner retain agency decide pattern choose course action idea build concept alternative ethical concept broadly evaluate preserve dignity priority requirement despite,"Foundation 1: Center People (Parents, Educators, and Students)

Education-focused AI policies at the federal, state, and district levels will be needed to guide and empower local and individual decisions about which technologies to adopt and use in schools and classrooms. Consider what is happening in everyday lives. Many of us use AI-enabled products because they are often better and more convenient. For example, few people want to use paper maps anymore; people find that technology helps us plan the best route to a destination more efficiently and conveniently. And yet, people often do not realize how much privacy they are giving up when they accept AI-enabled systems into their lives. AI will bring privacy and other risks that are hard to address only via individual decision making; additional protections will be needed. There should be clear limits on the ability to collect, use, transfer, and maintain our personal data, including limits on targeted advertising. These limits should"
0,4,0.26074225830825765,"research, formative, learner, assessment, context, recommendation, edtech, feedback, people, journal, tutor, pattern",usa,policy_ai_report_us_gov,"'All models are wrong, but some are useful.' -George Box, Statistician",wrong useful discuss ground incomplete measure degree fit useful fit harmful assessment serve priority lead let tech focus cause adopt fit priority poorly decision maker local power align priority strategies adoption decision place ahead excitement emerge capability strengthen attention exist guide edtech adoption evidence essa privacy requirement come local leader know best priority conversation emerge start priority center conclude evaluation effectiveness priority equity course priority attention especially consequence potentially bias especially leader avoid magic focus promising outcomes ,"'All models are wrong, but some are useful.' -George Box, Statistician

As we have discussed across every section of this report, AI technologies are grounded in models, and these models are inevitably incomplete in some way. It is up to humans to name educational goals and measure the degree to which models fit and are useful -or don't fit and might be harmful. Such an assessment of how well certain tools serve educational priorities may seem obvious, but the romance of technology can lead to a 'let's see wh at the tech can do'' attitude, which can weaken the focus on goals and cause us to adopt models that fit our priorities poorly. Here we call upon educational policy and decision makers at the local, state, and federal level to use their power to align priorities, educational strategies, and technology adoption decisions to place the educational needs of students ahead of the excitement about emerging AI capabilities. We want to strengthen their attention to existing state, distric"
0,5,0.25783696231925807,"research, formative, learner, assessment, context, recommendation, edtech, feedback, people, journal, tutor, pattern",usa,policy_ai_report_us_gov,Definition of 'Model',definition quality build representative term term closely choose focus concept bring idea incomplete know fit reality care break glossary augment englebart october augment intellect framework sri summary people avoid talk talk potential capability nearly approximation reality convey excitement possibility similarly people stop risk discuss know exactly fail align vision teach,"Definition of 'Model'

One could also ask about the quality of the data used to build the model -for example, how representative is that data? Switching among three terms - models, algorithms, and data -will become confusing. Because the terms are closely related, we've chosen to focus on the concept of AI models. We want to bring to the fore the idea that every AI model is incomplete, and it's important to know how well the AI model fits the reality we care about, where the model will break down, and how. 16 Gartner (n.d.) Gartner glossary: Augmented intelligence . Gartner. https://www.gartner.com/en/informationtechnology/glossary/augmented-intelligence

17 Englebart, D.C. (October 1962). Augmenting human intellect: A conceptual framework. SRI Summary Report AFOSR3223. https://www.dougengelbart.org/pubs/augment-3906.html

Sometimes people avoid talking about the specifics of models to create a mystique. Talking as though AI is unbounded in its potential capabilities and a nearly perfe"
1,1,0.5913136360966547,"medium, synthetic, child, privacy, deepfakes, act, chatgpt, user, content, optimisation, material, potential",usa,policy_ai_guidance,AGENTIC AI,evolve active oversight capable pattern recognition rapid content creation reinforce harmful bias carefully design broadly accord function predictive analyze past forecast likely outcomes recommendation track graduate performance intervention produce content pattern large set respond user prompt output code summary feedback videos music write brainstorm idea generate rubric instructional material generate content multilingual learner predict act decision step continuously adapt emerge tutor automatically virtual assistant meeting optimize route staff usage today predictive assess gap suggest p,"AGENTIC AI AI is:

- A tool to support human decision-making. - An evolving technology that requires active oversight. - Capable of pattern recognition and rapid content creation. - A system that can reinforce harmful bias if not carefully designed and used. AI can be broadly described according to its functions:

PREDICTIVE AI

These tools analyze past data to forecast likely outcomes or make recommendations. Examples of use in schools:

- -Predicting whether students are on track to graduate. - -Recommending learning pathways based on student performance data. - -Identifying students who may benefit from intervention.

GENERATIVE AI

Generative AI tools produce new content based on patterns in large data sets. These tools respond to user prompts with outputs like essays, code, summaries, feedback, images, videos, or music. Examples of use in schools:

- -Assisting students in drafting writing or brainstorming ideas. - -Helping teachers generate rubrics, lesson plans, or instructional"
1,2,0.5857390988608583,"medium, synthetic, child, privacy, deepfakes, act, chatgpt, user, content, optimisation, material, potential",usa,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx,,offer personalize feedback help learn pace creativity research skill material currently pilot small number align oklahoma academic standard comply privacy vet safety accessibility fairness share personal sensitive content clearly label educator guide value partnership opt child contact office learn input upcoming family date time website website thank continue family faq faq design help parent guardians thoughtfully integrated protect privacy prepare perform task help write personalize help personalize prepare skill child write assistant math study chatbots review staff safety value child safe,"Why AI?

AI can offer:

- Personalized feedback to help students learn at their own pace. - Tools that support creativity, problem-solving, and research skills. - Support for teachers in lesson planning and material development.

How We Are Using It

We are currently piloting a small number of AI tools that:

- Align with Oklahoma Academic Standards . - Comply with FERPA , COPPA , and state data privacy laws . - Have been vetted for safety, accessibility, and fairness. Students will never be required to share personal or sensitive information with AI systems. Any AI-generated content will be clearly labeled, and educators will guide all student use.

Your Role

We value your partnership and welcome any questions you have. You may also opt out of specific AI-related activities for your child by contacting the school office. To learn more or provide input, please join us at our upcoming AI in Education Family Night on [Date/Time] or visit our website at [School Website URL] . Thank you f"
1,3,0.5832148770711646,"medium, synthetic, child, privacy, deepfakes, act, chatgpt, user, content, optimisation, material, potential",usa,policy_generative_artificial_intelligence_ai_in_k_12_classrooms_v2,District Policy Considerations and The Implications of Synthetic Media and Deepfakes,implication synthetic medium deepfakes continue field additionally examples language community concern aware life implication synthetic medium deepfakes synthetic medium refers content generation video generation audio audio generation term synthetic medium refer videos audio appear real authentic portray know people event convince ability synthetic medium appear real genuine rapidly expand study university large number participant struggle synthetic medium versus real people participant ability spot fake help language retrieve real person deepfake tell retrieve equity privacy potential synthe,"District Policy Considerations and The Implications of Synthetic Media and Deepfakes

continuing to change the medical field. Additionally, there are examples of AI technologies being used for language revitalization within Indigenous communities. 15 Therefore, while there are concerns to be aware of regarding the use of AI within school, it will be a tool that many will use throughout their lives. NEW The Implications of Synthetic Media and Deepfakes. Synthetic media refers to digital content that is created using genAI tools like OpenAI's Dall-E (image generation) and Sor a (video generation) to audio tools from Lovo AI (audio generation). The term synthetic media can refer to images, videos or audio recordings that are generated or altered using genAI tools and appear real (i.e. photorealistic) and / or authentic (i.e. portray known people, events, etc. and which seem very convincing). The ability of synthetic media to appear even more real and genuine is rapidly expanding. A 2024 s"
1,4,0.5826590836039851,"medium, synthetic, child, privacy, deepfakes, act, chatgpt, user, content, optimisation, material, potential",usa,policy_generative_artificial_intelligence_ai_in_k_12_classrooms_v2,Recommendations And Resources For Student Data Privacy Implications,recommendation privacy implication introduce review privacy importance purpose chatgpt start place read privacy developer chatgpt privacy chatgpt child direct child age collect personal child age reason believe child age personal email legal investigate personal encourage look educator chatgpt additional equity privacy potential synthetic medium personally identifiable pii oversharing defines statewide line threat potential threat safety personally identifiable pii define permit identification person limit phone number physical address address race gender gender identity sexual disability orig,"Recommendations And Resources For Student Data Privacy Implications

Whenever new technology is introduced, reviewing the data use and privacy policies are of key importance. For example, for the purposes of ChatGPT, a starting place is to read the privacy policy of OpenAI , the developer of ChatGPT. The privacy policy includes specific information related to the use of ChatGPT for children:

'Our Service is not directed to children who are under the age of 13. OpenAI does not knowingly collect Personal Information from children under the age of 13. If you have reason to believe that a child under the age of 13 has provided Personal Information to OpenAI through the Service please email us at legal@openai.com. We will investigate any notification and if appropriate, delete the Personal Information from our systems.'

Schools and districts are also encouraged to look over OpenAI's Educator Considerations for ChatGPT for additional information. What is GenAI? Why AI Now? GenAI and Equity"
1,5,0.5718313980724935,"medium, synthetic, child, privacy, deepfakes, act, chatgpt, user, content, optimisation, material, potential",usa,policy_developing_policy_and_protocols_for_the_use_of_generative_ai_in_k_12_classrooms_march_2025,Guidance/Policy Principles,guidance principle bias output content inherently bias generate output bias literacy help staff notice appropriately bias output staff prepared emotional experience harm biased content guardrail refer restriction developer place content verify age prior essential user age parent permission aware parameter safe align privacy osipa iste set condition success responsible additional detail privacy oversharing lastly privacy vital staff personally pii enter public knowledge literacy teach oversharing share personal emerge solution safety concern addition sound robust literacy close complex allow cu,"Guidance/Policy Principles

- Bias: Since genAI outputs are modeled after content generated by humans - who are inherently biased - genAI can also generate output that is biased. Part of AI literacy is helping staff and students understand this and develop practices to notice, call out, and react appropriately to biased outputs. Relatedly, staff must be prepared to support the emotional needs of students who have experienced and been harmed by biased content. - Guardrails: Next, 'guardrails' refer to the restrictions AI developers place on what content can and cannot be generated by their tools. Verifying a tools' guardrails, including age range considerations, prior to student use is an essential practice. Certain tools are meant to be used only by users of a certain age and/or only with parent permission. Districts need to be aware of these policies and consider the parameters for safe use, as aligned to state and federal student data privacy laws (OSIPA, FERPA, CIPA, and COPPA). IST"
