topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
0,1,0.3774275112115444,"staff, assessment, content, generate, help, task, personal, academic, teach, privacy, guideline, feedback",australia,policy_policy_title_artificial_intelligence_ai_usage_policy_for_staff_teachers_and_students,Extent and acceptable use of AI with students,extent acceptable purpose integrate experience foster critical thinking prepare age empower innovative extent acceptable diminish value interaction complement traditional teaching method essential teach responsible guidance educate limitation foster critical thinking skill evaluate output follow condition satisfied align curriculum privacy comply child protection regulation inclusive accessible equitable disability diverse background content integrate enhances traditional teach method engagement content compromise authenticity assessment task ethical algorithmic bias transparency fairness acco,"Extent and acceptable use of AI with students 3.4 AI use with students

The purpose of integrating AI into student learning is to enhance educational experiences, foster critical thinking, and prepare students for the digital age. AI tools can empower teachers to become facilitators of learning in innovative ways.

Extent and acceptable use of AI with students

AI should be used judiciously, enhancing education without diminishing the value of human interaction. AI should complement traditional teaching methods and not replace essential teaching roles. Responsible use of AI with students entails providing appropriate guidance, educating students about AI's limitations and benefits, and fostering critical thinking skills to evaluate AI-generated outputs. The following conditions must be satisfied for AI to be used with students:

- AI tools must align with the planned curriculum and support student learning. - The use of AI must ensure student privacy and comply with data and child prot"
0,2,0.36695350155309525,"staff, assessment, content, generate, help, task, personal, academic, teach, privacy, guideline, feedback",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,COSN - Education Response to Artificial Intelligence &amp; Generative AI,response essential leadership guideline paradigm shift society institution administrator encourage essential guideline leadership staff actionable step awareness user aware tools potential focus thinking skill good start limitation explain limitation potential error inaccuracy teach critical thinking skill assess validate output ethic good teach ethic relationship product ongoing training ongoing innovation training reinforcement best safe responsible manner educate community incident concern set culture safe responsible mitigate potential risk associate environment leverage power privacy secu,"COSN - Education Response to Artificial Intelligence &amp; Generative AI

Essential Leadership Guidelines

Generative AI has ushered in a paradigm shift in society that K-12 institutions can shepherd. Superintendents and school district administrators are encouraged to implement these essential guidelines when working with leadership teams and staff to create actionable steps and policies around AI and Generative AI. Awareness : Ensure that users are aware of the AI tools and their potential benefits for K-12 education. Focusing on how to use Generative AI as a way to develop higher-order thinking skills is a good start. Limitations : Explain the limitations of the AI tools and the potential for errors or inaccuracies. Teach critical thinking skills to assess and validate AI output. Ethics and Etiquette : Promote good online etiquette, including proofreading and factchecking. Teach Ethics in

relationship to AI created or assisted work products. Ongoing Training : Provide ongoing innov"
0,3,0.36344945108971694,"staff, assessment, content, generate, help, task, personal, academic, teach, privacy, guideline, feedback",australia,policy_artificial_intelligence_policy,"Access and Equity, Data Privacy and Security",equity privacy security employ meet privacy guideline child safety standard review appraisal team prior representation broad implication introduce request appraisal direct approval grant executive team aware protect personal instruct avoid upload personally identifiable virtual victoria appraisal glossary staff term record employment concern raise equity inquiry direct instructional leader combine leadership executive team encourage equity people inclusion consent parent carers obtain personal email address creation parent clear function limitation potential bias misuse transparency crucial in,"Access and Equity, Data Privacy and Security

All AI software employed within VSV must meet Privacy Policy guidelines and Child Safety Standards and must be reviewed by the Software Appraisals Team prior to any use within VSV. Where further representation or broader consideration for the implications of introducing an AI resource are required, requests for the appraisal of generative AI tools may also be directed to Education Committee and/or ICTG before approval is granted. Any further escalation will be considered by the Executive Team. Where students are asked to use an AI service, they must be made aware of the need to protect their personal data and instructed in how to avoid uploading personally identifiable information. All generative AI tools used by students and teachers at Virtual School Victoria must be included in the Software Appraisals Glossary in VSV Online. All VSV staff must abide by the Terms of Use stipulated in that record in their employment of AI within VSV. Where"
0,4,0.35810474665672754,"staff, assessment, content, generate, help, task, personal, academic, teach, privacy, guideline, feedback",australia,policy_australian_framework_for_generative_ai_in_schools,About the Framework,framework february minister agree respond risk harness arise priority minister agree best framework framework consultation union industry academic parent representative body sector taskforce comprise representative jurisdiction sector agency esa curriculum assessment authority acara institute teach leadership aitsl research aero framework align exist complement ethic framework declaration equity excellence confident creative individual successful lifelong learner active informed community additionally framework aligns united sustainable inclusive equitable quality lifelong aligns safer aim sec,"About the Framework

In February 2023, Education Ministers agreed that responding to the risks and harnessing opportunities for Australian schools and students arising from generative AI technologies is a national education priority. Ministers agreed to develop an evidence-informed, best practice framework for Australian schools. The Framework was developed in consultation with unions, teachers, students, industry, academics, and parent and school representative bodies from all sectors. It was developed by the National AI in Schools Taskforce comprised of representatives from all jurisdictions, school sectors, and the national agencies - Educational Services Australia (ESA), Australian Curriculum, Assessment and Reporting Authority (ACARA), Australian Institute for Teaching and School Leadership (AITSL), and Australian Education Research Organisation (AERO). The Framework aligns to existing national policies and goals. It complements Australia's Artificial Intelligence Ethics Framework"
0,5,0.34376425422434603,"staff, assessment, content, generate, help, task, personal, academic, teach, privacy, guideline, feedback",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Public sector responses,public sector response curriculum teach fluency ready competition real world project ethic grade course mit medium lab code experiment experiment teachable public sector response currently train follow distinct direction teach urgent address gap skill necessary curriculum recognise diverse skill set adapt consequence network determine embrace potential york city public despite initially repository community space share additionally public expand ongoing science encompass direct day curriculum project mit help educator run classrooms entire curriculum training facilitate private sector follow s,"Public sector responses Resources and curriculum for teaching AI

| AI Fluency | AI bootcamp |
|--------------------|-----------------------------------------------------|
| Ready AI | Kits & competitions |
| Invent XYZ | Real world projects & environments |
| AI4All | Education and mentorship |
| AI+Ethics | Middle grades course from MIT media lab (~30 hours) |
| AI for Oceans | Tutorial from code.org |
| AI Experiments | Experiments with Google |
| Teachable Machines | An initiative from Google |

Public sector responses

Resources are currently being developed for teachers as part of their training or education. These follow two distinct directions: Learning about AI and learning to teach with AI. There is an urgent move to address the gap between the skills that have been identified as necessary and the curriculum resources being made available. OECD has recognised that students will not only need to be able to use AI tools, but also need diverse skill sets enabling them to be flex"
1,1,0.2241954549597651,"principle, ethical, accountability, framework, transparency, child, privacy, fairness, wellbeing, guidance, safety, teach",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Industry-led,industry pause powerful developed confident effect positive risk manageable main demand pause safety recommendation mandate robust audit certification power capable agency liability harm introduce measure prevent track expand safety research funding standard manage content recommendation note difference focus industry lead principle globe maker difference industry lead framework actionable step long term desire outcome intention focussing,"Industry-led

In April 2023, hundreds of Industry initiatives and researchers called for a pause in the development of AI technologies as 'Powerful AI systems should be developed only once we are confident that their effects will be positive and their risks will be manageable.' 110 The main demand is that this pause can be used for the development of much needed policy to ensure the safety of these systems. These policy recommendations include the need to:

1. Mandate robust third-party auditing and certification. 2. Regulate access to computational power. 101 https://www.intel.com/content/www/us/en/homepage.html

102 https://www.intel.com/content/www/us/en/corporate/artificial-intelligence/digital-readiness-home.html

103 https://www.microsoft.com/en-US/cloudskillschallenge/ai/registration/2023?ocid=aisc23\_CSC\_skillsforaiblog\_cnl

104 https://www.ibm.com/impact

105 https://fobizz.com/

106 https://codingnmore.com/

107 https://www.microsoft.com/en-us/ai/our-approach

108 https://w"
1,2,0.21971236100702413,"principle, ethical, accountability, framework, transparency, child, privacy, fairness, wellbeing, guidance, safety, teach",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,Opportunities and challenges of AI systems for teaching and learning,teach potential transform teach innovative yan instance automate task grade attendance track efficiency free focus complex creative aspect wang personalise providing assessment feedback improve effectiveness address unique individual wang exist enables experience adaptive instance potential adjust learner knowledge motivation emotion dynamic responsive environment wang open previously immersive learner experience previously wang integration teach concern carefully address teach wellbeing social interaction literacy user transparency responsibility accountability privacy justice fairness child ,"Opportunities and challenges of AI systems for teaching and learning

AI systems have the potential to revolutionise education, transforming teaching and learning through innovative applications (Yan et al., 2024). For instance, by automating routine tasks like grading and attendance tracking, AI can enhance efficiency, freeing teachers to focus on more complex and creative aspects of education (Wang et al., 2024). It also may support personalised learning by providing tailored assessments and feedback, thereby improving learning effectiveness by addressing the unique needs of individual students (Wang et al., 2024). Beyond enhancing existing practices, AI enables the reimagining of learning experiences. Adaptive learning systems, for instance, have the potential to adjust to a learner's knowledge, motivation and emotions, creating a dynamic and responsive educational environment (Wang et al., 2024). Furthermore, AI opens doors to previously unfeasible opportunities, such as immersive "
1,3,0.21721363469938626,"principle, ethical, accountability, framework, transparency, child, privacy, fairness, wellbeing, guidance, safety, teach",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,The Ethical Framework for AI in Education,ethical framework achieve achieve strong societal scientific evidence learner assess recognise broader learner increase capacity institution whilst relationship equity group learner discriminate group learner increase control learner balance privacy legitimate achieve ultimately responsible outcome oversight operate learner educators reasonable implication design people,"The Ethical Framework for AI in Education

https://www.buckingham.ac.uk/wp-content/uploads/2021/03/The-Institute-for-Ethical-AI-inEducation-The-Ethical-Framework-for-AI-in-Education.pdf

| Achieving Educational Goals. AI should be used to achieve well-defined educational goals based on strong societal, educational or scientific evidence that this is for the benefit of learner |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| AI should be used to assess and recognise a broader range of learners' talents |
| AI should increase the capacity of educational institutions whilst respecting human Relationships |
| AI systems should be used in ways that promote equity between different groups of learners and not in ways that discriminate against any group of learners |
| AI should be used to increase the level of control that learners have over th"
1,4,0.21687650962720162,"principle, ethical, accountability, framework, transparency, child, privacy, fairness, wellbeing, guidance, safety, teach",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,References,transform strategic ethical principle code promise european edtech alliance larimore analysis pace guidance toolkit framework systematic review limitation associate chatgpt international journal interaction deliver cognitive behavior adult fully automate conversational agent randomize control trial jmir mental health institute ethical ieaied ethical framework institute ethical ieaied ethical framework jin yan high global perspective institutional adoption guideline arxiv arxiv jobin global landscape ethic guideline nature liu sabzalieva valentini harness high high unesco guideline equitable ex,"References

ACER. (2022). Transforming learning. Strategic plan 2022-2027 . - Adams, C., Pente, P., Lemermeyer, G., &amp; Rockwell, G. (2023). Ethical principles for artificial intelligence in K-12 education. Computers and Education: Artificial Intelligence , 4 , 100131. https://doi.org/10.1016/j.caeai.2023.100131
- Code.org, CoSN, Digital Promise, European EdTech Alliance, Larimore, J., &amp; Policy Analysis for California Education (PACE). (2023). AI Guidance for Schools Toolkit . https://teachai.org/toolkit-principles
- Commonwealth of Australia. (2023). Australian Framework for Generative Artificial Intelligence in Schools . Australian Government Department of Education. https://www.education.gov.au/schooling/resources/australian-framework-generativeartificial-intelligence-ai-schools
- Cong-Lem, N., Soyoof, A., &amp; Tsering, D. (2024). A systematic review of the limitations and associated opportunities of ChatGPT. International Journal of Human-Computer Interaction , 0 (0), 1-16. "
1,5,0.21661661825561707,"principle, ethical, accountability, framework, transparency, child, privacy, fairness, wellbeing, guidance, safety, teach",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,Appendix,evaluation think guideline review additional source evaluation think institute ethical achieve achieve defined strong societal scientific evidence learner ethical framework assess recognise broader learner ethical framework monitor evaluate extent intend objective achieve ethical framework supplier conduct review achieve intended harmful unintended ethical framework intend design combination factor action achieve improved ethical framework unesco weigh versus risk discuss analyse review facilitate knowledge transfer interaction think value discusses importance pilot test monitor evaluation bui,"Appendix

Table 5. Reference to 'Benefit', 'Evaluation', and 'Thinking' in the guidelines reviewed: additional information

| Source | Benefit | Evaluation | Thinking |
|-----------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
2,1,0.2695099697648342,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,Responding to the challenge,respond network quality bring leader industry social purpose research commit harness edtech potential improve outcome especially experience disadvantage counter risk undermine positive recent forum network harmful cognitive offload critical leverage point emerge strategy help deploy draw substantial evidence know best teach explicitly structure scaffold design amplify expertise build cognitive effort knowledge outline promise pathway evidence align priority explicit teach strategy help offload task building selfregulated capability critical thinking bring clear metacognitive prompt encourage d,"Responding to the challenge

The Australian Network for Quality Digital Education has brought together leaders across education, government, industry, social purpose, research and philanthropy committed to harnessing edtech's potential to improve learning outcomes, especially for those students experiencing disadvantage, while countering risks that undermine positive impact. At a recent forum, the Network considered the challenge of AI and harmful cognitive offloading. Two critical leverage points emerged:

1. strategies to help teachers most effectively deploy AI, drawing on the substantial evidence of what already is known to work best in teaching and learning and by explicitly structuring and scaffolding the student use of AI; and
2. educational design of AI tools so that they amplify teacher expertise to build, not relinquish, the student cognitive effort required for lasting knowledge. This report outlines specific promising pathways, backed by evidence, that align with these prio"
2,2,0.2676337574234522,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,Appendix: Annotated bibliography,annotate profound implication paper regulatory recommendation assume agi year global framework restrict pending risk assessment stand address concern plagiarism actionable guidance critical juncture han liu outcomes systematic review experimental study research review systematic review time improve significant particularly age cohort effect large secondary context treat caution study analysis test performance determine effect han huang wang metacognition pattern cognitive collaboration study small group relationship cognitive desire pattern result suggest complex interaction motivational facto,"Appendix: Annotated bibliography

to transhumanism, each with profound educational implications. The paper's 13 regulatory recommendations include assuming AGI arrival within two years, establishing global frameworks, and restricting student access pending risk assessment. This work stands out for addressing existential concerns beyond plagiarism, providing actionable policy guidance at a critical juncture in AI development. Han, X., Peng, H., &amp; Liu, M. (2025). The impact of GenAI on learning outcomes: A systematic review and meta-analysis of experimental studies. Educational Research Review, 45 , 100714. https://doi.org/10.1016/j.edurev.2025.100714

Another systematic review and meta-analysis, this time from 2025. The findings from this one also support the role of generative AI in improving learning. The authors also found significant moderators, particularly the age of the cohort, with effects being larger in primary and secondary school contexts. The findings need to be treated"
2,3,0.23358917812883678,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,Introduction,introduction global clear trend emerge increase environment trend extend year accelerate trend demonstrate little preparation flexibility engagement grant come cognitive cost lodge cost evident increasingly teach public launch chatgpt late trigger profound foundation cognition evolve continue advance begin large language automate referred agent come purpose refer reality wide emerge evolve attention lead frame particularly end think stake high prominent scholar warn peak humanity pose fundamental risk cognitive agency hamilton purpose robust accessible analysis novel interaction mechanism reco,"Introduction

Even before the global impact of the COVID-19 pandemic on education, a clear trend was emerging across education systems worldwide toward the increased use of digital learning environments and tools. These trends extend back more than 30 years to when the first digital technologies systematically impacted education. The forced move to online learning during the pandemic accelerated this trend, demonstrating what was possible, even with little preparation. However, as with those technologies, the flexibility and engagement granted by new digital tools often come with a cognitive cost (Lodge 2023). That cost is becoming progressively evident as artificial intelligence (AI) increasingly impacts on learning and teaching (Horvath 2026). The public launch of ChatGPT in late 2022 has triggered a new, more profound acceleration, moving the debate beyond blended learning to the very foundations of human cognition. These technologies have evolved and continue to advance. Beginning "
2,4,0.22376415577665432,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,Appendix: Annotated bibliography,annotate lens emphasise century skill theoretical foundation instruction prove especially handle generic task domain expertise critical chen huang empower mechanism pathways frontier theoretical study attempt realistic course adaptive personalised outline potential highlight significant pedagogical barrier personalised power add serf caution current sophisticate adaptive tutor embrace relevance literacy prompt engineering critical thinking modern international journal high theoretical paper argument importance literacy prompt engineering time kind argument recent research tankelevitch walton k,"Appendix: Annotated bibliography

findings across chess, programming, and problem-solving through this lens. This work challenges educational paradigms emphasising '21 st century skills' and provides theoretical foundations for content-focused instruction, proving especially relevant as AI handles generic tasks while domain expertise becomes the critical human differentiator. Tu, Y., Chen, J., &amp; Huang, C. (2025). Empowering personalized learning with generative artificial intelligence: Mechanisms, challenges and pathways. Frontiers in Digital Education, 2 , 19. https://doi.org/10.1007/s44366-025-0056-9

This technical/theoretical study attempted to plot a realistic course to truly adaptive AI systems for supporting personalised learning. While the authors outline the potential for these systems, their work highlights significant technical and pedagogical barriers to truly personalised learning, even with the power of LLMs added to the mix. This serves as a caution that current AI t"
2,5,0.2052505426763318,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,A new metacognitive equity gap,metacognitive equity gap implication curriculum equity analysis cognitive risk point significant novel equity risk default unstructured widen exist equity gap exist divide loble hawcroft offer robust equitable path forward metacognitive equity gap cognitive risk performance paradox metacognitive laziness illusion competence distribute research clear negative affect novice lack domain knowledge critically evaluate output bastani singh likely tempt convenience enter task weak metacognitive skill darvishi gerlich participant high dependence lower critical thinking suggest powerful worry matthew e,"A new metacognitive equity gap Implications for curriculum, practice, and equity

The analysis of cognitive risk points to a significant and novel equity risk. The default, unstructured use of student-facing AI will almost certainly widen existing equity gaps, exacerbating existing digital divides (Loble &amp; Hawcroft 2022). However, a teacher-facing application of AI offers a robust, scalable, and equitable path forward.

A new metacognitive equity gap

The cognitive risks identified in this report (the performance paradox, metacognitive laziness, and the illusion of competence) are not distributed equally. The research is clear that these negative impacts disproportionately affect novices ; those who lack the very domain knowledge needed to critically evaluate the output of AI systems (Bastani et al. 2025; Singh et al.,2025). Furthermore, the students most likely to be tempted by the convenience of AI in learning are those who enter the task with weaker self-regulation and metacogni"
3,1,0.36194203668821034,"submission, recommendation, inquiry, tension, analysis, evidence, body, group, public, value, university, theme",australia,policy_generative_ai_in_the_australian_education_system_an_open_data_set_of_stakeholder_recommendations_and_emerging_analysis_from_a_public_inquiry,New assessment models,assessment alternative assessment common concern suggest complex assessment address concern academic misconduct submission recommendation indicate thoughtful integration assessment recommendation prioritise academic integrity foster creativity incorporate assessment alongside suggestion bank approve task review exist assessment tension response great detail encompass complex relationship assessment curriculum structure institution recognise longstanding core tension,"New assessment models

Alternative approaches to assessment were a common concern (#3, 7, 16 91, 88, 81, 76, 75, 74, 70, 68, 50, 25, 27, 31, 35, 37). Respondent #3 suggested more complex assessments will need to be developed with the incorporation of AI into educational practices, while addressing concerns about academic misconduct. Submission recommendations indicate thoughtful contextualisation and integration of AI into assessment practices will be required, with recommendations to prioritise academic integrity and foster creativity and originality in student work (#7), to incorporate proctored, in-person assessments alongside AI tools (#7), a suggestion for a bank of approved tasks developed by AI (#12) and a review of existing assessments (e.g., #39). Tensions and issues : Many of the responses here were very brief and did not go into great detail about what the new models might encompass. Complex relationships between assessment, curriculum and other structures in education insti"
