topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
0,1,0.47714877160103564,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",usa,policy_guidetoaiinschools,a computer science teacher in the Northeast commented on the Student Data Privacy Consortium:,homework american deeply chatgpt public record review response introduction creativity age llms experiment think research study assistance boost creativity task hinder independent creative performance user assistance critical think reduction cognitive effort confidence effect survey knowledge worker research study high confidence associate critical thinking high associate critical thinking chatbot prompt library educator prompt variety curated guideline mit raise curriculum empower responsibly spend million catch plagiarism tech worth principle overview principle order innovative trustworthy d,"a computer science teacher in the Northeast commented on the Student Data Privacy Consortium: [The Homework Machine](https://www.teachlabpodcast.com/buckle-up-here-it-comes/)

a miniseries in the Teachlab podcast, explores the impact of AI on students, teachers, and schools.

[American Schools Were Deeply Unprepared for ChatGPT, Public Records Show](https://www.404media.co/american-schools-were-deeply-unprepared-for-chatgpt-public-records-show/)

is a report based on a review of documents which traces responses to the introduction of AI.

[Human Creativity in the Age of LLMs: Randomized Experiments on Divergent and Convergent Thinking](https://arxiv.org/pdf/2410.03703)

is a research study that found that 'while LLM assistance can provide short-term boosts in creativity during assisted tasks, it may inadvertently hinder independent creative performance when users work without assistance. '

[The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort "
0,2,0.45633614057908034,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",france,policy_men_dne_brochure_ia_2024_uk_web,5.5 AI training and school dropout prevention,train prevention propose pathway reach maturity subject define year achieve result difficult fully difficult predict evolve complete curriculum outside scope pillar propose uncertainty demonstrate strict relationship calculation curricula line recommendation expert awareness science collect critical thinking social science contribute ethical raise critical thinking aspect proper idea advance prompt basic source train prevention open main contribute reduction social inequality reality prompt establishment hand increase risk difficulty high people disadvantage background hand scientific study ha,"AI training and school dropout prevention 5.4 A proposed five-pillar pathway

'Artificial intelligence has not reached maturity. The subject as defined in 1956, studied for 40 years, has achieved spectacular results since 2012 and is still difficult to fully comprehend. It is even more difficult to predict how technologies will evolve, even in the near future. While the development of a complete curriculum is outside the scope of this document, five pillars can be proposed and built upon. (…)

1. Uncertainty and randomness

Data is inconsistent. It does not demonstrate a strict causal relationship.

2. Coding and calculation

Coding and informatics are now part of the school curricula in many countries, in line with recommendations by experts.

3. Data awareness

Data education (data science) will be based on activities where data is collected and viewed, prcoessed and analysed.

4. Critical thinking

Social science can and must contribute to the many ethical issues raised by AI. Criti"
0,3,0.4435154558639345,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",france,policy_men_dne_brochure_ia_2024_uk_web,The new challenges of generative AI,implication assessment far immediate concern learner cheat write assignment fact produce relatively paper essay art pass exam subject rethink learn end assess fundamental perspective implication research complementary relationship agency possibly basic think thinking skill output provided holmes generate video audio music speech content advance speed pose possibility demonstrate grow domains pose numerous risk individual company economy society disinformation potential control action trajectory difficult predict explore hand shape stage tech private research lab firm pursue strategy extent mit,"The new challenges of generative AI

'The implications of GenAI for assessment go far beyond the immediate concerns about learners cheating on written assignments. We must contend with the fact that GenAI can produce relatively well-organized papers and essays and impressive works of art , and can pass some knowledge-based exams in certain subject areas. We therefore need to rethink what exactly should be learned and to what ends , and how learning is to be assessed and validated. (...)

The most fundamental perspective of the long-term implications of GenAI for education and research is still about the complementary relationship between human agency and machines . One of the key questions is whether humans can possibly cede basic levels of thinking and skill-acquisition processes to AI and rather concentrate on higher-order thinking skills based on the outputs provided by AI.'

(Miao &amp; Holmes, 2023)

'Generative AI models that generate text, image, video, and audio (e.g., music, s"
0,4,0.42464742557289126,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Probabilistic networks are evolving into foundational networks,network evolve foundational network foundational network instance concept express movement wave appear child fall success failure movement correct incorrect update success prove year robotics company dynamic spend research year spend year performance category month speed target defines highly autonomous valuable alan leader analysis predict arrive diagram number start societal wide industrial short year chatgpt look novel historical old phone industry cut job cut job happen job lose reduction workforce talk talk increase class size significantly predict safe decrease workload improve teaching ,"Probabilistic networks are evolving into foundational networks

used from the same Foundational Network. 'Hello' for instance is a concept that can expressed in movement by a wave. This appears to be analogous to the learning a child does by falling down or the learning from success/failure from movement, based on the same correct/incorrect/update probability of success formula. This approach has proven so effective that it outperformed 20 years the robotics company Boston Dynamics spending over $1 billion in research and development), was overtaken by the likes of X1 4 in less than a year at fraction the of the spend. 3 https://futurism.com/hack-deranged-alter-ego-chatgpt

It initially took 15 years to get an AI to be at the level of human performance in certain categories. It now takes only a few months. The speed of change is astronomical and the next target is artificial general intelligence (AGI) which OpenAI defines as 'highly autonomous systems that outperform humans at most eco"
0,5,0.40283192037119997,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Public sector responses,public sector response curriculum fluency ready competition real world project ethic middle grade course mit medium lab hour code experiment experiment teachable public sector response currently train follow direction urgent address gap skill necessary curriculum recognise diverse skill set flexible adapt consequence network determine embrace potential city public despite repository community space share additionally public expand ongoing science encompass direct day curriculum project mit help educator run classrooms entire curriculum training facilitate private sector follow successful reach,"Public sector responses Resources and curriculum for teaching AI

| AI Fluency | AI bootcamp |
|--------------------|-----------------------------------------------------|
| Ready AI | Kits & competitions |
| Invent XYZ | Real world projects & environments |
| AI4All | Education and mentorship |
| AI+Ethics | Middle grades course from MIT media lab (~30 hours) |
| AI for Oceans | Tutorial from code.org |
| AI Experiments | Experiments with Google |
| Teachable Machines | An initiative from Google |

Public sector responses

Resources are currently being developed for teachers as part of their training or education. These follow two distinct directions: Learning about AI and learning to teach with AI. There is an urgent move to address the gap between the skills that have been identified as necessary and the curriculum resources being made available. OECD has recognised that students will not only need to be able to use AI tools, but also need diverse skill sets enabling them to be flex"
1,1,0.5840581290717032,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",usa,policy_guidetoaiinschools,Implications,implication common sense medium risk assessment assistant common sense medium assistant powerful productivity assistant proper oversight build curriculum experience educator evaluate output clear prevent undermine quality guidance official guidance summary link guidance extent child overcome barrier help achieve strong body research evidence literacy framework council framework defines dimension literacy literacy literacy adapt discipline jurisdiction american psychological association effect nuanced complex good bad factor design feature train context project inappropriate help peer propose o,"Implications [Common Sense Media AI Risk Assessment: AI Teacher Assistants from Common Sense Media](https://www.commonsensemedia.org/sites/default/files/featured-content/files/csm-ai-risk-assessment-ai-teacher-assistants-final.pdf)

' AI teacher assistants can be powerful productivity assistants when used with proper oversight and built on high-quality curricula, but they require experienced educators to evaluate outputs and clear district policies to prevent them from becoming 'invisible influencers' that undermine learning quality. '

StateAlGuidanceforKl2Schools

26 states [and Puerto ltice] now/hove officioli guidonce er pollcy en the use ot Aerin it2 schools. wie've compiled them in this handy resource which. ncludes summories gnd inis to the ful guidanoefor eoch

[State AI Guidance for K12 Schools from AI for Education](https://www.aiforeducation.io/ai-resources/state-ai-guidance)

'26 states (and Puerto Rico) now have official guidance or policy on the use of AI in K12 schools. "
1,2,0.502174610644099,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",usa,policy_developing_policy_and_protocols_for_the_use_of_generative_ai_in_k_12_classrooms_march_2025,Recommended tasks:,recommend task guidance assessment parameter modify multilingual learner current assessment train form assessment takeaway guidance takeaway recommend task regularly monitor evaluate adjust accordingly monitor ongoing academic staff allow regular evaluation revision guidance consult avoid discriminatory avoid potential discriminatory helpful start grade roll wide monitor closely prepared negative equity concern arise accountability measure align educator professional community training adjust review effectiveness local parent organization similar organization outside review team consistent bas,"Recommended tasks: Guidance/policy questions:

- What will be allowable uses of AI tools for different types of assessments? - Will these parameters be modified for students with certain learning needs? If so, how? Will this need to be considered for students on IEPs or 504 plans or multilingual learners? - Considering current assessment practices, what new approaches will AI tools support? How will teachers be trained in implementing these different forms of assessment? Process takeaways:

Guidance/policy takeaways:

Recommended tasks:

- Plan to regularly monitor and evaluate the impacts of AI and adjust policy and implementation plans accordingly: With the use of AI in schools, it is important to monitor the ongoing academic, behavioral, and social-emotional impacts on both staff and students. Consider processes to allow for the regular evaluation and revision of guidance/policy related to genAI. - Consult USDE's 'Avoiding the Discriminatory Use of Artificial Intelligence' to better"
1,3,0.4967192199054749,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",usa,policy_ai_guidance,FOCUS AREA: INTEGRATION OF AI GUIDANCE INTO EXISTING POLICIES,focus integration guidance exist focus responsive remain flexible current ground everyday reality review revise set incorporate community feedback update rubric guide guidance daily instruction mechanism pilot share local adaptation guidance focus continuous monitoring feedback structure reflection iteration improvement clear indicator progress align core commitment equity literacy leader feedback refine strategy tools time transparent public reporting integration risk facilitate cycle adapt focus divide equitable inclusive content audit assistive tech align accessibility standard prioritize i,"FOCUS AREA: INTEGRATION OF AI GUIDANCE INTO EXISTING POLICIES FOCUS AREA: RESPONSIVE POLICY AND PRACTICE

Ensuring that implementation remains flexible, current, and grounded in everyday classroom realities. - Review and revise policies on a set schedule, incorporating teacher, student, and community feedback. - Ensure policy updates are accompanied by practice tools (e.g., lesson examples, rubrics, planning guides). - Develop teacher-facing implementation guidance that connects policy to daily instruction. - Create mechanisms for schools to pilot, document, and share local adaptations of district guidance.

FOCUS AREA: CONTINUOUS MONITORING AND FEEDBACK

Embedding structures that support reflection, iteration, and long-term improvement. - Identify clear indicators of progress aligned to each core commitment (e.g., equity, literacy, access). - Use student, teacher, and leader feedback to refine strategies, resources, and tools over time. - Develop a plan for transparent public reportin"
1,4,0.4944011745219564,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",usa,policy_guidance_for_ai_policy_development,Guiding Principles,guide principle guidance team person decision organization surround guidance team determine trajectory organization team team representative follow group parent legal administrative team content special curriculum instructional leader tech leader stage address immediate risk undermine come year stage facilitate organizational small strategic investment harness individual educator excite stage transformation potential scale local college representative board list team deem necessary guide principle follow guide principle guide team purpose ethically responsibly collaborative effort help achieve,"Guiding Principles Guidance Team

No one person should have to make the decisions for their organization surrounding AI by themselves. A guidance team or committee should assist in determining the trajectory of AI implementation for your organization.

Team Members

Who should be on your team? Who are your stakeholders? Representatives may include members from the following stakeholder groups:

- Parents. - Human Resources. - Legal. - Administrative Team. - Teachers of all content areas, including CTE and Special Education. - Curriculum/Instructional Leaders. - IT/ED Tech Leaders.

STAGE 1

Create policy to address the immediate risks so that AI does not undermine learning during the coming year.

STAGE 2

Facilitate organizational learning by making a small but strategic investment in harnessing the individual learning of the many educators already excited about AI.

STAGE 3

Identify areas for improvements and effective transformations with potential to scale to support the education"
1,5,0.49219365494336775,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",usa,policy_model_policy_artificial_intelligence_ai_use_in_schools_docx,Risk Rating Guide:,risk rating guide risk assessment rubric purpose rubric template help assess potential risk setting scale evaluate compliance safety equity alignment priority risk rating guide high risk major legal ethical pedagogical concern recommend risk concern caution mitigation strategy risk align secure ready green domain risk rating green note instructional alignment align academic standard instructional accessibility equity accessible learner user privacy compliance comply privacy transparent transparency explainability clearly indicate allow educator output bias fairness evaluate algorithmic bias ra,"Risk Rating Guide: AI Tool Risk Assessment Rubric for Oklahoma K-12 Schools

Purpose: This rubric template can be used to help Oklahoma K-12 districts assess the potential risk level of AI tools in educational settings. It uses a Red-Yellow-Green scale to evaluate compliance, safety, equity, and alignment with educational priorities.

Risk Rating Guide:

🟥 RED: High Risk - Major legal, ethical, or pedagogical concerns. Not recommended without remediation. 🟨 YELLOW: Moderate Risk - Some concerns. Proceed with caution and mitigation strategies. Low Risk - Aligned with policy, secure, and ready for use. 🟩 GREEN:

| Domain | Key Questions | Risk Rating (Red, Yellow, Green) | Comments/Notes |
|-------------------------------|-----------------------------------------------------------------------------------------------------|------------------------------------|------------------|
| Instructional Alignment | Does the tool align with Oklahoma Academic Standards and instructional goals? | | |"
